,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,
ANA,3,3,3,3,3,4,3,3,4,3,3,3,3,2,3,4,1,2,3,3,4,3,4,4,3,3,2,82
ARI,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3,4,3,3,4,4,3,3,3,82
BOS,3,2,3,3,3,3,3,4,2,4,4,3,2,3,4,3,0,3,4,4,2,3,4,3,4,3,3,82
BUF,3,2,4,2,4,2,4,3,4,2,4,3,3,2,4,2,0,3,4,3,4,4,2,4,3,4,3,82
CAR,3,3,3,2,3,4,2,3,3,2,4,3,3,3,4,3,2,2,4,3,3,3,4,2,4,4,3,82
CBJ,2,3,2,3,4,4,3,3,2,3,4,3,3,2,4,3,0,3,3,4,3,4,4,3,3,4,3,82
CGY,2,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,1,2,2,4,3,4,3,3,4,4,2,82
CHI,3,2,3,4,3,3,3,3,4,3,4,4,2,4,3,2,1,2,3,4,3,3,3,3,3,4,3,82
COL,2,3,4,3,2,3,3,3,4,3,4,3,3,2,4,3,1,1,4,4,4,3,4,2,4,3,3,82
DAL,2,3,2,3,4,4,3,3,4,2,3,4,3,3,3,3,0,4,2,3,4,3,3,4,4,3,3,82
DET,3,3,3,2,3,3,3,4,3,4,3,4,3,3,3,3,1,2,3,4,3,2,4,3,4,3,3,82
EDM,1,2,3,4,4,3,3,3,4,3,4,2,3,3,4,3,1,2,3,3,4,4,3,3,3,4,3,82
FLA,1,2,3,3,2,3,4,4,3,3,3,4,3,2,4,4,0,2,4,3,4,4,4,3,4,4,2,82
LAK,2,4,2,3,2,3,4,3,4,4,3,3,3,4,2,4,0,2,4,3,3,3,4,3,3,4,3,82
MIN,2,3,3,3,2,4,4,2,3,3,3,3,3,3,4,4,1,2,4,3,4,3,4,3,4,2,3,82
MTL,2,3,2,3,4,3,4,3,3,3,4,3,3,3,4,3,1,2,3,3,4,3,3,3,4,3,3,82
NJD,1,2,3,2,4,3,4,4,3,3,2,4,3,3,4,3,1,2,4,4,4,3,3,4,4,3,2,82
NSH,2,4,2,3,3,3,4,3,4,2,4,3,3,4,3,4,1,2,4,3,4,3,2,3,4,2,3,82
NYI,3,1,3,3,4,2,3,4,2,4,3,3,3,2,4,4,1,2,4,3,3,4,4,3,4,4,2,82
NYR,3,2,3,3,3,4,3,4,3,2,2,3,3,3,4,3,0,4,3,3,4,3,4,3,3,4,3,82
OTT,3,3,1,3,4,4,3,3,3,4,4,2,3,3,3,3,1,2,3,4,3,4,4,2,3,4,3,82
PHI,2,3,4,2,4,2,3,3,2,3,3,4,3,4,4,2,1,4,3,3,3,4,3,3,4,3,3,82
PIT,2,2,2,3,4,2,4,3,3,4,4,3,3,3,3,3,1,3,4,3,3,3,4,4,4,2,3,82
SJS,3,3,2,3,3,4,3,3,4,4,2,4,3,3,3,4,1,1,4,3,3,3,3,4,3,3,3,82
STL,2,3,3,2,2,3,4,3,3,3,3,3,3,3,4,4,1,1,4,4,4,3,3,4,4,3,3,82
TBL,1,2,4,3,4,3,4,3,4,4,2,3,3,2,4,3,0,3,4,4,3,3,4,3,4,2,3,82
TOR,3,4,2,3,2,3,4,4,2,3,3,4,2,3,3,3,1,3,3,3,4,4,3,3,4,3,3,82
VAN,2,3,4,4,2,4,4,3,3,3,4,3,3,3,2,3,1,2,4,3,3,3,3,4,3,3,3,82
VGK,3,3,2,3,3,4,4,3,3,4,4,3,3,3,3,3,1,2,3,4,2,4,3,3,3,4,2,82
WPG,2,3,4,3,2,2,3,3,4,3,4,3,3,2,4,3,1,3,4,3,3,3,3,4,4,3,3,82
WSH,2,3,3,2,3,3,4,4,2,3,3,3,3,3,4,3,2,2,4,4,3,3,3,3,4,4,2,82
,70,84,88,90,96,98,106,100,98,98,104,100,90,90,108,98,26,72,108,106,104,102,106,100,112,102,86,
