,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ANA,3,3,1,4,3,3,3,4,3,4,3,3,3,3,2,3,2,4,3,4,3,2,4,3,3,3,3
ARI,2,3,3,4,4,3,4,3,4,3,2,3,3,2,2,4,1,2,4,3,3,3,3,4,4,3,3
BOS,2,3,2,3,3,3,3,3,3,2,4,3,3,4,2,3,2,3,4,3,3,3,4,4,3,4,3
BUF,3,3,3,3,2,3,4,3,3,3,3,3,3,3,2,3,2,3,4,4,3,3,3,3,4,3,3
CAR,1,2,3,4,2,4,3,3,3,4,3,3,3,3,4,2,2,4,3,4,2,4,3,3,4,4,2
CBJ,2,3,3,4,3,3,3,3,3,3,4,3,3,4,2,1,2,3,3,4,4,3,4,3,3,3,3
CGY,3,3,2,4,2,3,3,3,4,3,4,2,3,2,4,2,2,3,4,4,3,4,3,4,3,2,3
CHI,3,3,3,3,3,3,2,3,4,3,3,2,3,3,4,2,2,3,4,4,3,3,4,3,4,2,3
COL,3,3,2,3,3,2,3,3,3,4,4,2,3,3,2,3,2,3,4,3,4,3,3,4,4,4,2
DAL,2,3,3,4,3,2,3,3,4,4,3,3,3,3,2,3,2,4,3,2,3,4,3,4,3,3,3
DET,2,4,3,3,4,2,3,3,3,3,2,3,3,3,2,3,2,3,3,4,4,3,4,3,4,3,3
EDM,3,1,3,3,3,4,3,4,3,3,4,2,3,4,3,1,2,2,4,3,4,4,2,4,4,4,2
FLA,2,2,3,4,2,3,4,3,4,3,3,3,2,4,2,2,2,3,3,3,3,4,4,3,4,4,3
LAK,2,3,3,4,2,3,4,3,4,3,4,2,2,3,2,3,2,3,3,4,4,3,3,4,4,3,2
MIN,2,2,2,3,4,3,4,4,2,3,4,3,3,3,4,2,1,3,3,4,3,4,3,4,2,4,3
MTL,3,2,3,4,3,3,3,4,3,3,2,3,3,3,2,3,2,4,2,3,4,3,4,4,4,2,3
NJD,2,3,3,2,3,4,3,4,2,3,4,2,3,3,1,4,2,3,4,4,3,4,3,3,3,4,3
NSH,2,3,3,3,3,2,4,3,4,2,3,3,3,3,1,3,2,4,3,4,3,4,3,4,3,4,3
NYI,3,3,2,4,2,3,3,3,3,4,3,3,3,4,2,4,1,4,3,4,2,4,2,3,4,3,3
NYR,3,3,4,2,4,2,3,3,2,4,3,3,3,3,2,4,2,3,3,4,3,3,4,2,4,3,3
OTT,2,3,3,4,2,2,3,3,3,3,3,3,3,3,2,3,2,4,3,4,3,4,3,3,4,4,3
PHI,3,2,3,4,3,2,3,4,3,2,4,3,2,4,1,4,2,3,4,3,4,3,4,3,3,3,3
PIT,3,3,3,4,3,3,3,4,2,4,3,2,3,4,2,3,2,3,3,4,2,4,3,2,4,4,2
SJS,2,2,4,3,2,3,3,3,4,3,3,2,2,4,2,4,2,4,4,3,4,3,3,3,4,3,3
STL,3,3,3,4,2,4,2,3,3,4,4,3,3,4,1,3,2,3,4,2,3,3,3,3,3,4,3
TBL,3,3,3,4,2,3,2,3,3,3,3,3,3,4,2,3,2,4,3,3,4,3,3,3,4,3,3
TOR,3,2,4,3,4,3,3,3,3,3,3,3,3,4,1,4,2,4,3,3,4,3,1,3,4,4,2
VAN,1,3,4,3,3,3,3,4,3,4,3,3,2,3,3,2,2,3,4,3,4,3,4,2,4,3,3
VGK,2,3,2,3,4,2,3,3,4,3,3,2,3,4,1,4,2,4,3,4,3,3,4,3,4,3,3
WPG,3,2,2,3,4,2,4,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,4,3
WSH,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,1,3,3,4,4,2,4,3,4,4,2
